SOURCE,TARGET,WEIGHT
96981,15,2.5833333333333334E-4
31292,19,0.0055
10882,20,2.5833333333333334E-4
76550,26,2.5833333333333334E-4
14834,38,2.5833333333333334E-4
2463,55,2.5833333333333334E-4
74043,58,2.5833333333333334E-4
52459,81,2.5833333333333334E-4
62754,84,0.040356083086053415
58355,90,2.5833333333333334E-4
26118,114,2.5833333333333334E-4
94130,122,2.5833333333333334E-4
15749,131,2.5833333333333334E-4
25875,203,2.5833333333333334E-4
85131,216,0.055944055944055944
6443,234,2.5833333333333334E-4
25875,236,2.5833333333333334E-4
12318,265,2.5833333333333334E-4
33424,269,0.040356083086053415
47786,280,0.0055
82341,280,0.0055
43050,292,2.5833333333333334E-4
3264,297,2.5833333333333334E-4
22814,302,2.5833333333333334E-4
18276,333,2.5833333333333334E-4
1459,335,2.5833333333333334E-4
1660,346,0.0055
47133,374,2.5833333333333334E-4
80593,410,0.021505376344086023
63726,445,2.5833333333333334E-4
30447,474,2.5833333333333334E-4
22814,481,2.5833333333333334E-4
30447,495,2.5833333333333334E-4
95255,507,2.5833333333333334E-4
26721,523,2.5833333333333334E-4
43532,535,2.5833333333333334E-4
77786,540,2.5833333333333334E-4
16699,584,2.5833333333333334E-4
25875,597,2.5833333333333334E-4
30447,629,2.5833333333333334E-4
82263,629,2.5833333333333334E-4
23874,642,2.5833333333333334E-4
92450,670,2.5833333333333334E-4
40227,698,2.5833333333333334E-4
40227,708,2.5833333333333334E-4
83754,733,2.5833333333333334E-4
53376,763,2.5833333333333334E-4
35112,790,2.5833333333333334E-4
9247,801,2.5833333333333334E-4
22814,804,2.5833333333333334E-4
47628,809,2.5833333333333334E-4
77786,812,2.5833333333333334E-4
42248,830,2.5833333333333334E-4
80593,871,2.5833333333333334E-4
31292,877,2.5833333333333334E-4
49375,877,2.5833333333333334E-4
84475,889,0.0055
57390,912,0.0055
43017,956,0.021505376344086023
43532,984,2.5833333333333334E-4
48497,1031,2.5833333333333334E-4
53569,1044,2.5833333333333334E-4
95126,1048,0.040356083086053415
43050,1085,2.5833333333333334E-4
48352,1097,2.5833333333333334E-4
83493,1106,2.5833333333333334E-4
47628,1109,2.5833333333333334E-4
6324,1112,2.5833333333333334E-4
63726,1133,0.021505376344086023
76282,1144,2.5833333333333334E-4
29774,1180,2.5833333333333334E-4
48352,1213,2.5833333333333334E-4
63726,1224,2.5833333333333334E-4
9247,1233,2.5833333333333334E-4
32015,1250,0.055944055944055944
65758,1259,2.5833333333333334E-4
1996,1280,2.5833333333333334E-4
18341,1288,2.5833333333333334E-4
43920,1297,2.5833333333333334E-4
84704,1299,2.5833333333333334E-4
16795,1300,2.5833333333333334E-4
63623,1302,2.5833333333333334E-4
43050,1307,2.5833333333333334E-4
53569,1313,2.5833333333333334E-4
92450,1328,2.5833333333333334E-4
4384,1332,2.5833333333333334E-4
54132,1334,2.5833333333333334E-4
80638,1342,2.5833333333333334E-4
6311,1343,0.02689075630252101
61636,1355,2.5833333333333334E-4
88386,1395,2.5833333333333334E-4
18341,1396,0.0055
69193,1459,0.055944055944055944
7537,1461,0.0055
53569,1474,2.5833333333333334E-4
23874,1491,2.5833333333333334E-4
63726,1505,2.5833333333333334E-4
65758,1522,2.5833333333333334E-4
96869,1540,2.5833333333333334E-4
23874,1562,2.5833333333333334E-4
1996,1567,0.052941176470588235
11280,1569,2.5833333333333334E-4
43050,1570,2.5833333333333334E-4
2712,1575,0.021505376344086023
93759,1575,0.021505376344086023
63726,1596,2.5833333333333334E-4
78429,1600,2.5833333333333334E-4
92661,1617,0.021505376344086023
62706,1630,0.0055
97140,1648,2.5833333333333334E-4
47786,1652,2.5833333333333334E-4
58355,1657,0.0055
9247,1687,2.5833333333333334E-4
40426,1734,2.5833333333333334E-4
25875,1745,2.5833333333333334E-4
47628,1750,2.5833333333333334E-4
56239,1758,2.5833333333333334E-4
24900,1795,2.5833333333333334E-4
24784,1801,2.5833333333333334E-4
93003,1803,2.5833333333333334E-4
47628,1804,2.5833333333333334E-4
61636,1813,2.5833333333333334E-4
86705,1832,0.040356083086053415
