SOURCE,TARGET,WEIGHT
350010,11,15
350010,12,21
350010,13,16
350010,14,47
350010,15,45
350010,16,59
350010,17,90
350020,3,11
350020,5,11
350030,8,16
350030,9,25
350030,10,13
350030,11,15
350030,12,27
350030,13,20
350030,14,33
350030,15,57
350030,16,57
350030,17,28
350070,1,24
350070,2,49
350070,3,73
350070,4,108
350070,5,206
350070,6,249
350070,7,170
350070,8,57
350070,9,129
350070,10,45
350070,11,49
350070,12,31
350070,13,37
350070,14,26
350070,15,17
350070,16,24
350070,17,35
350130,11,11
350130,12,11
350130,14,12
350160,6,13
350160,7,19
350160,8,22
350160,9,37
350160,10,59
350160,11,138
350160,12,164
350160,13,197
350160,14,272
350160,15,277
350160,16,216
350160,17,93
350170,3,12
350170,4,21
350170,5,32
350170,6,36
350170,10,23
350170,11,139
350170,12,142
350170,13,191
350170,14,189
350170,15,167
350170,16,168
350170,17,85
350210,1,271
350210,2,337
350210,3,290
350210,4,260
350210,5,236
350210,6,175
350210,7,148
350210,8,123
350210,9,116
350210,10,136
350210,11,142
350210,12,141
350210,13,155
350210,14,160
350210,15,220
350210,16,165
350210,17,104
350280,3,13
350280,4,22
350280,5,44
350280,6,70
350280,7,77
350280,8,114
350280,9,142
350280,10,159
350280,11,235
350280,12,147
350280,13,67
350280,14,46
350280,15,38
350280,16,42
350280,17,133
350300,1,19
350300,2,22
350300,3,16
350300,4,18
350300,5,17
350320,1,220
350320,2,279
350320,3,494
350320,4,644
350320,5,1004
350320,6,1425
350320,7,1253
350320,8,1403
350320,9,854
350320,10,370
350320,11,404
350320,12,612
350320,13,388
350320,14,256
350320,15,205
350320,16,68
350320,17,88
350330,13,28
350330,14,34
350330,15,32
350330,16,26
350330,17,14
350340,17,11
350390,17,14
350400,6,13
350400,7,11
350400,8,14
350400,9,29
350400,10,22
350400,11,42
350400,12,58
350400,13,48
350400,14,71
350400,15,92
350400,16,76
350400,17,28
350410,12,11
350410,13,25
350410,14,12
350420,11,13
350420,12,26
350420,13,37
350420,14,25
350420,15,21
350420,16,28
350420,17,61
350430,7,20
350430,8,13
350430,10,13
350430,11,20
350440,5,11
350440,7,16
350440,13,22
350440,15,13
350460,2,11
350460,3,19
350460,4,28
350460,5,28
350460,6,50
350460,7,36
350460,8,31
350460,9,15
350460,10,16
350480,3,16
350480,5,15
350480,6,35
350480,7,23
350480,8,12
350480,9,11
350480,12,17
350480,13,19
350480,14,26
350480,15,25
350480,16,21
350480,17,24
350510,13,11
350510,14,11
350520,12,11
350550,1,106
350550,2,99
350550,3,183
350550,4,269
350550,5,248
350550,6,307
350550,7,250
350550,8,237
350550,9,261
350550,10,185
350550,11,225
350550,12,223
350550,13,271
350550,14,368
350550,15,381
350550,16,305
350550,17,248
350590,7,27
350590,8,26
350590,9,16
350590,10,18
350590,11,24
350590,12,24
350590,13,38
350590,14,28
350590,15,50
350590,16,39
350590,17,24
350600,1,193
350600,2,427
350600,3,647
350600,4,1010
350600,5,1055
350600,6,1358
350600,7,1572
350600,8,1725
350600,9,1585
350600,10,1932
350600,11,2188
350600,12,1854
350600,13,1528
350600,14,827
350600,15,53
350610,7,13
350610,8,17
350610,10,15
350610,11,18
350610,12,18
350610,13,34
350610,14,39
350610,15,36
350610,16,36
350630,8,12
350630,11,15
350640,1,12
350640,2,17
350640,3,33
350640,4,57
350640,5,91
350640,6,105
350640,7,83
350640,8,83
350640,9,47
350640,10,28
350640,11,12
350640,12,20
350640,13,22
350640,14,12
350640,17,14
350650,3,12
350650,4,42
350650,5,63
350650,6,91
350650,7,105
350650,8,113
350650,9,173
350650,10,219
350650,11,325
350650,12,345
350650,13,530
350650,14,472
350650,15,563
350650,16,268
350650,17,94
350670,10,11
350670,11,11
350670,12,16
350670,13,16
350670,14,22
350670,15,33
350670,16,43
350670,17,34
350700,12,19
350700,13,21
350700,14,14
350700,15,17
350700,16,24
350700,17,30
350740,12,14
350740,13,30
350740,14,37
350740,15,51
350740,16,71
350740,17,70
350780,2,20
350780,3,33
350780,4,44
350780,5,36
350780,6,110
350780,7,68
350780,8,87
350780,9,68
350780,10,51
350780,11,35
350780,12,52
350780,13,40
350780,14,55
350780,15,37
350780,16,60
350780,17,39
350790,10,11
350790,12,13
350790,13,12
350790,16,13
350820,5,24
350820,6,22
350820,7,12
350820,8,14
350820,9,19
350850,12,13
350850,15,29
350850,16,26
350850,17,23
350950,2,16
350950,4,24
350950,5,23
350950,6,62
350950,7,105
350950,8,164
350950,9,210
350950,10,302
350950,11,525
350950,12,969
350950,13,1329
350950,14,1541
350950,15,1999
350950,16,2002
350950,17,2026
351040,14,14
351040,15,11
351040,16,17
351040,17,13
351050,8,15
351050,9,13
351050,11,17
351050,12,36
351050,13,72
351050,14,71
351050,15,244
351050,16,201
351050,17,62
351060,9,12
351060,10,12
351060,11,19
351060,12,24
351060,13,38
351060,14,23
351060,15,16
351070,4,11
351070,5,14
351070,6,17
351070,7,28
351070,8,17
351070,11,15
351070,12,26
351070,13,13
351070,15,32
351070,16,57
351070,17,24
351080,16,32
351080,17,40
351100,1,28
351100,2,24
351100,3,47
351100,4,90
351100,5,71
351100,6,105
351100,7,120
351100,8,60
351100,9,28
351100,10,29
351100,11,33
351100,12,33
351100,13,47
351100,14,47
351100,15,34
351100,16,33
351100,17,36
351110,4,12
351110,5,14
351110,6,27
351110,7,29
351110,8,25
351110,9,23
351110,10,42
351110,11,40
351110,12,60
351110,13,108
351110,14,75
351110,15,88
351110,16,86
351110,17,53
351120,6,13
351120,10,16
351120,12,26
351120,13,31
351120,14,37
351120,15,33
351120,16,20
351130,6,11
351130,7,28
351130,8,22
351130,9,21
351130,11,11
351130,12,15
351130,14,12
351130,15,11
