,DRS,   ,GVE,Município,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,Total
9,Marília,XIX,MARÍLIA,350010 Adamantina,0,0,0,0,1,6,3,9,6,6,15,21,16,47,45,59,90,324
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,350020 Adolfo,6,10,11,9,11,7,3,3,5,5,1,8,2,4,0,0,0,85
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,350030 Aguaí,0,0,0,0,1,1,7,16,25,13,15,27,20,33,57,57,28,300
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,350040 Águas da Prata,0,0,0,0,0,0,1,1,4,5,7,3,1,0,0,0,1,23
7,Campinas,XVII,CAMPINAS,350050 Águas de Lindóia,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,6
6,Bauru,XVI,BOTUCATU,350055 Águas de Santa Bárbara,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3
10,Piracicaba,XX,PIRACICABA,350060 Águas de São Pedro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XV,BAURU,350070 Agudos,24,49,73,108,206,249,170,57,129,45,49,31,37,26,17,24,35,1329
16,Sorocaba,XXXI,SOROCABA,350075 Alambari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,350080 Alfredo Marcondes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barretos,XIV,BARRETOS,350090 Altair,0,0,0,1,0,2,2,0,1,0,1,2,0,1,0,0,0,10
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,350100 Altinópolis,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,7
2,Araçatuba,XI,ARAÇATUBA,350110 Alto Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXI,SOROCABA,350115 Alumínio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,350120 Álvares Florence,0,0,0,0,2,0,0,1,1,2,0,0,0,1,0,0,0,7
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,350130 Álvares Machado,0,0,0,0,0,0,3,6,5,7,11,11,7,12,4,6,6,78
9,Marília,XIX,MARÍLIA,350140 Álvaro de Carvalho,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3
9,Marília,XIX,MARÍLIA,350150 Alvinlândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,350160 Americana,3,2,0,7,7,13,19,22,37,59,138,164,197,272,277,216,93,1526
3,Araraquara,XII,ARARAQUARA,350170 Américo Brasiliense,4,4,12,21,32,36,6,4,2,23,139,142,191,189,167,168,85,1225
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,350180 Américo de Campos,0,1,0,0,0,0,1,2,2,2,0,3,1,0,0,0,0,12
7,Campinas,XVII,CAMPINAS,350190 Amparo,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,2,0,10
10,Piracicaba,XX,PIRACICABA,350200 Analândia,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,1,2,10
2,Araçatuba,XI,ARAÇATUBA,350210 Andradina,271,337,290,260,236,175,148,123,116,136,142,141,155,160,220,165,104,3179
16,Sorocaba,XXXI,SOROCABA,350220 Angatuba,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
6,Bauru,XVI,BOTUCATU,350230 Anhembi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,350240 Anhumas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Taubaté,XXXIII,TAUBATÉ,350250 Aparecida,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,2,2,13
15,São José do Rio Preto,XXX,JALES,350260 Aparecida d'Oeste,0,0,0,0,0,0,0,0,1,5,4,2,1,0,2,1,2,18
16,Sorocaba,XXXII,ITAPEVA,350270 Apiaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXI,SOROCABA,350275 Araçariguama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
